VCD info: dumpfile wave.vcd opened for output.
in = 0000000000000000 | out = 0000
in = 0000000000000001 | out = 0000
in = 0000000000000010 | out = 0001
in = 0000000000000011 | out = 0000
in = 0000000000000100 | out = 0010
in = 0000000000000101 | out = 0000
in = 0000000000000110 | out = 0000
in = 0000000000000111 | out = 0000
in = 0000000000001000 | out = 0011
in = 0000000000001001 | out = 0000
in = 0000000000001010 | out = 0000
in = 0000000000001011 | out = 0000
in = 0000000000001100 | out = 0000
in = 0000000000001101 | out = 0000
in = 0000000000001110 | out = 0000
in = 0000000000001111 | out = 0000
in = 0000000000010000 | out = 0100
in = 0000000000010001 | out = 0000
in = 0000000000010010 | out = 0000
in = 0000000000010011 | out = 0000
in = 0000000000010100 | out = 0000
in = 0000000000010101 | out = 0000
in = 0000000000010110 | out = 0000
in = 0000000000010111 | out = 0000
in = 0000000000011000 | out = 0000
in = 0000000000011001 | out = 0000
in = 0000000000011010 | out = 0000
in = 0000000000011011 | out = 0000
in = 0000000000011100 | out = 0000
in = 0000000000011101 | out = 0000
in = 0000000000011110 | out = 0000
in = 0000000000011111 | out = 0000
in = 0000000000100000 | out = 0101
in = 0000000000100001 | out = 0000
in = 0000000000100010 | out = 0000
in = 0000000000100011 | out = 0000
in = 0000000000100100 | out = 0000
in = 0000000000100101 | out = 0000
in = 0000000000100110 | out = 0000
in = 0000000000100111 | out = 0000
in = 0000000000101000 | out = 0000
in = 0000000000101001 | out = 0000
in = 0000000000101010 | out = 0000
in = 0000000000101011 | out = 0000
in = 0000000000101100 | out = 0000
in = 0000000000101101 | out = 0000
in = 0000000000101110 | out = 0000
in = 0000000000101111 | out = 0000
in = 0000000000110000 | out = 0000
in = 0000000000110001 | out = 0000
in = 0000000000110010 | out = 0000
in = 0000000000110011 | out = 0000
in = 0000000000110100 | out = 0000
in = 0000000000110101 | out = 0000
in = 0000000000110110 | out = 0000
in = 0000000000110111 | out = 0000
in = 0000000000111000 | out = 0000
in = 0000000000111001 | out = 0000
in = 0000000000111010 | out = 0000
in = 0000000000111011 | out = 0000
in = 0000000000111100 | out = 0000
in = 0000000000111101 | out = 0000
in = 0000000000111110 | out = 0000
in = 0000000000111111 | out = 0000
in = 0000000001000000 | out = 0110
in = 0000000001000001 | out = 0000
in = 0000000001000010 | out = 0000
in = 0000000001000011 | out = 0000
in = 0000000001000100 | out = 0000
in = 0000000001000101 | out = 0000
in = 0000000001000110 | out = 0000
in = 0000000001000111 | out = 0000
in = 0000000001001000 | out = 0000
in = 0000000001001001 | out = 0000
in = 0000000001001010 | out = 0000
in = 0000000001001011 | out = 0000
in = 0000000001001100 | out = 0000
in = 0000000001001101 | out = 0000
in = 0000000001001110 | out = 0000
in = 0000000001001111 | out = 0000
in = 0000000001010000 | out = 0000
in = 0000000001010001 | out = 0000
in = 0000000001010010 | out = 0000
in = 0000000001010011 | out = 0000
in = 0000000001010100 | out = 0000
in = 0000000001010101 | out = 0000
in = 0000000001010110 | out = 0000
in = 0000000001010111 | out = 0000
in = 0000000001011000 | out = 0000
in = 0000000001011001 | out = 0000
in = 0000000001011010 | out = 0000
in = 0000000001011011 | out = 0000
in = 0000000001011100 | out = 0000
in = 0000000001011101 | out = 0000
in = 0000000001011110 | out = 0000
in = 0000000001011111 | out = 0000
in = 0000000001100000 | out = 0000
in = 0000000001100001 | out = 0000
in = 0000000001100010 | out = 0000
in = 0000000001100011 | out = 0000
in = 0000000001100100 | out = 0000
in = 0000000001100101 | out = 0000
in = 0000000001100110 | out = 0000
in = 0000000001100111 | out = 0000
in = 0000000001101000 | out = 0000
in = 0000000001101001 | out = 0000
in = 0000000001101010 | out = 0000
in = 0000000001101011 | out = 0000
in = 0000000001101100 | out = 0000
in = 0000000001101101 | out = 0000
in = 0000000001101110 | out = 0000
in = 0000000001101111 | out = 0000
in = 0000000001110000 | out = 0000
in = 0000000001110001 | out = 0000
in = 0000000001110010 | out = 0000
in = 0000000001110011 | out = 0000
in = 0000000001110100 | out = 0000
in = 0000000001110101 | out = 0000
in = 0000000001110110 | out = 0000
in = 0000000001110111 | out = 0000
in = 0000000001111000 | out = 0000
in = 0000000001111001 | out = 0000
in = 0000000001111010 | out = 0000
in = 0000000001111011 | out = 0000
in = 0000000001111100 | out = 0000
in = 0000000001111101 | out = 0000
in = 0000000001111110 | out = 0000
in = 0000000001111111 | out = 0000
in = 0000000010000000 | out = 0111
in = 0000000010000001 | out = 0000
in = 0000000010000010 | out = 0000
in = 0000000010000011 | out = 0000
in = 0000000010000100 | out = 0000
in = 0000000010000101 | out = 0000
in = 0000000010000110 | out = 0000
in = 0000000010000111 | out = 0000
in = 0000000010001000 | out = 0000
in = 0000000010001001 | out = 0000
in = 0000000010001010 | out = 0000
in = 0000000010001011 | out = 0000
in = 0000000010001100 | out = 0000
in = 0000000010001101 | out = 0000
in = 0000000010001110 | out = 0000
in = 0000000010001111 | out = 0000
in = 0000000010010000 | out = 0000
in = 0000000010010001 | out = 0000
in = 0000000010010010 | out = 0000
in = 0000000010010011 | out = 0000
in = 0000000010010100 | out = 0000
in = 0000000010010101 | out = 0000
in = 0000000010010110 | out = 0000
in = 0000000010010111 | out = 0000
in = 0000000010011000 | out = 0000
in = 0000000010011001 | out = 0000
in = 0000000010011010 | out = 0000
in = 0000000010011011 | out = 0000
in = 0000000010011100 | out = 0000
in = 0000000010011101 | out = 0000
in = 0000000010011110 | out = 0000
in = 0000000010011111 | out = 0000
in = 0000000010100000 | out = 0000
in = 0000000010100001 | out = 0000
in = 0000000010100010 | out = 0000
in = 0000000010100011 | out = 0000
in = 0000000010100100 | out = 0000
in = 0000000010100101 | out = 0000
in = 0000000010100110 | out = 0000
in = 0000000010100111 | out = 0000
in = 0000000010101000 | out = 0000
in = 0000000010101001 | out = 0000
in = 0000000010101010 | out = 0000
in = 0000000010101011 | out = 0000
in = 0000000010101100 | out = 0000
in = 0000000010101101 | out = 0000
in = 0000000010101110 | out = 0000
in = 0000000010101111 | out = 0000
in = 0000000010110000 | out = 0000
in = 0000000010110001 | out = 0000
in = 0000000010110010 | out = 0000
in = 0000000010110011 | out = 0000
in = 0000000010110100 | out = 0000
in = 0000000010110101 | out = 0000
in = 0000000010110110 | out = 0000
in = 0000000010110111 | out = 0000
in = 0000000010111000 | out = 0000
in = 0000000010111001 | out = 0000
in = 0000000010111010 | out = 0000
in = 0000000010111011 | out = 0000
in = 0000000010111100 | out = 0000
in = 0000000010111101 | out = 0000
in = 0000000010111110 | out = 0000
in = 0000000010111111 | out = 0000
in = 0000000011000000 | out = 0000
in = 0000000011000001 | out = 0000
in = 0000000011000010 | out = 0000
in = 0000000011000011 | out = 0000
in = 0000000011000100 | out = 0000
in = 0000000011000101 | out = 0000
in = 0000000011000110 | out = 0000
in = 0000000011000111 | out = 0000
in = 0000000011001000 | out = 0000
in = 0000000011001001 | out = 0000
in = 0000000011001010 | out = 0000
in = 0000000011001011 | out = 0000
in = 0000000011001100 | out = 0000
in = 0000000011001101 | out = 0000
in = 0000000011001110 | out = 0000
in = 0000000011001111 | out = 0000
in = 0000000011010000 | out = 0000
in = 0000000011010001 | out = 0000
in = 0000000011010010 | out = 0000
in = 0000000011010011 | out = 0000
in = 0000000011010100 | out = 0000
in = 0000000011010101 | out = 0000
in = 0000000011010110 | out = 0000
in = 0000000011010111 | out = 0000
in = 0000000011011000 | out = 0000
in = 0000000011011001 | out = 0000
in = 0000000011011010 | out = 0000
in = 0000000011011011 | out = 0000
in = 0000000011011100 | out = 0000
in = 0000000011011101 | out = 0000
in = 0000000011011110 | out = 0000
in = 0000000011011111 | out = 0000
in = 0000000011100000 | out = 0000
in = 0000000011100001 | out = 0000
in = 0000000011100010 | out = 0000
in = 0000000011100011 | out = 0000
in = 0000000011100100 | out = 0000
in = 0000000011100101 | out = 0000
in = 0000000011100110 | out = 0000
in = 0000000011100111 | out = 0000
in = 0000000011101000 | out = 0000
in = 0000000011101001 | out = 0000
in = 0000000011101010 | out = 0000
in = 0000000011101011 | out = 0000
in = 0000000011101100 | out = 0000
in = 0000000011101101 | out = 0000
in = 0000000011101110 | out = 0000
in = 0000000011101111 | out = 0000
in = 0000000011110000 | out = 0000
in = 0000000011110001 | out = 0000
in = 0000000011110010 | out = 0000
in = 0000000011110011 | out = 0000
in = 0000000011110100 | out = 0000
in = 0000000011110101 | out = 0000
in = 0000000011110110 | out = 0000
in = 0000000011110111 | out = 0000
in = 0000000011111000 | out = 0000
in = 0000000011111001 | out = 0000
in = 0000000011111010 | out = 0000
in = 0000000011111011 | out = 0000
in = 0000000011111100 | out = 0000
in = 0000000011111101 | out = 0000
in = 0000000011111110 | out = 0000
in = 0000000011111111 | out = 0000
testbench.v:22: $finish called at 3840 (1s)
