VCD info: dumpfile wave.vcd opened for output.
in = 00000000 | out = xxx
in = 00000001 | out = 000
in = 00000010 | out = 001
in = 00000011 | out = xxx
in = 00000100 | out = 010
in = 00000101 | out = xxx
in = 00000110 | out = xxx
in = 00000111 | out = xxx
in = 00001000 | out = 011
in = 00001001 | out = xxx
in = 00001010 | out = xxx
in = 00001011 | out = xxx
in = 00001100 | out = xxx
in = 00001101 | out = xxx
in = 00001110 | out = xxx
in = 00001111 | out = xxx
in = 00010000 | out = 100
in = 00010001 | out = xxx
in = 00010010 | out = xxx
in = 00010011 | out = xxx
in = 00010100 | out = xxx
in = 00010101 | out = xxx
in = 00010110 | out = xxx
in = 00010111 | out = xxx
in = 00011000 | out = xxx
in = 00011001 | out = xxx
in = 00011010 | out = xxx
in = 00011011 | out = xxx
in = 00011100 | out = xxx
in = 00011101 | out = xxx
in = 00011110 | out = xxx
in = 00011111 | out = xxx
in = 00100000 | out = 101
in = 00100001 | out = xxx
in = 00100010 | out = xxx
in = 00100011 | out = xxx
in = 00100100 | out = xxx
in = 00100101 | out = xxx
in = 00100110 | out = xxx
in = 00100111 | out = xxx
in = 00101000 | out = xxx
in = 00101001 | out = xxx
in = 00101010 | out = xxx
in = 00101011 | out = xxx
in = 00101100 | out = xxx
in = 00101101 | out = xxx
in = 00101110 | out = xxx
in = 00101111 | out = xxx
in = 00110000 | out = xxx
in = 00110001 | out = xxx
in = 00110010 | out = xxx
in = 00110011 | out = xxx
in = 00110100 | out = xxx
in = 00110101 | out = xxx
in = 00110110 | out = xxx
in = 00110111 | out = xxx
in = 00111000 | out = xxx
in = 00111001 | out = xxx
in = 00111010 | out = xxx
in = 00111011 | out = xxx
in = 00111100 | out = xxx
in = 00111101 | out = xxx
in = 00111110 | out = xxx
in = 00111111 | out = xxx
testbench.v:21: $finish called at 960 (1s)
